characteristic	 value	 user_id	 study_name	 
politicalid	-2	141145	pinus.ybalab.qiat.sc2
religionid	1	141145	pinus.ybalab.qiat.sc2
occupation	11-0000	141145	pinus.ybalab.qiat.sc2
birthyear	1952	141145	pinus.ybalab.qiat.sc2
engfluency	4	141145	pinus.ybalab.qiat.sc2
ethnicity	5	141145	pinus.ybalab.qiat.sc2
income	5	141145	pinus.ybalab.qiat.sc2
birthmonth	8	141145	pinus.ybalab.qiat.sc2
education	9	141145	pinus.ybalab.qiat.sc2
sex	f	141145	pinus.ybalab.qiat.sc2
religion	united methodist church, the	141145	pinus.ybalab.qiat.sc2
citizenship	us	141145	pinus.ybalab.qiat.sc2
residence	us	141145	pinus.ybalab.qiat.sc2
genoccupation	00-0000	399139	pinus.ybalab.qiat.sc2
occupation	00-0000	399139	pinus.ybalab.qiat.sc2
major	1	399139	pinus.ybalab.qiat.sc2
religionid	1	399139	pinus.ybalab.qiat.sc2
birthyear	1954	399139	pinus.ybalab.qiat.sc2
ethnicityomb	2	399139	pinus.ybalab.qiat.sc2
politicalid	2	399139	pinus.ybalab.qiat.sc2
dayofbirth	3	399139	pinus.ybalab.qiat.sc2
birthmonth	4	399139	pinus.ybalab.qiat.sc2
raceomb	6	399139	pinus.ybalab.qiat.sc2
education	9	399139	pinus.ybalab.qiat.sc2
relfamily	atheist	399139	pinus.ybalab.qiat.sc2
sex	f	399139	pinus.ybalab.qiat.sc2
religion	none	399139	pinus.ybalab.qiat.sc2
citizenship	us	399139	pinus.ybalab.qiat.sc2
residence	us	399139	pinus.ybalab.qiat.sc2
religionid	1	451157	pinus.ybalab.qiat.sc2
genoccupation	15	451157	pinus.ybalab.qiat.sc2
occupation	15-1000	451157	pinus.ybalab.qiat.sc2
birthyear	1947	451157	pinus.ybalab.qiat.sc2
ethnicityomb	2	451157	pinus.ybalab.qiat.sc2
dayofbirth	23	451157	pinus.ybalab.qiat.sc2
politicalid	3	451157	pinus.ybalab.qiat.sc2
major	6	451157	pinus.ybalab.qiat.sc2
raceomb	6	451157	pinus.ybalab.qiat.sc2
birthmonth	7	451157	pinus.ybalab.qiat.sc2
education	9	451157	pinus.ybalab.qiat.sc2
relfamily	atheist	451157	pinus.ybalab.qiat.sc2
sex	m	451157	pinus.ybalab.qiat.sc2
religion	none	451157	pinus.ybalab.qiat.sc2
citizenship	us	451157	pinus.ybalab.qiat.sc2
residence	us	451157	pinus.ybalab.qiat.sc2
birthmonth	1	461364	pinus.ybalab.qiat.sc2
birthyear	1982	461364	pinus.ybalab.qiat.sc2
ethnicityomb	2	461364	pinus.ybalab.qiat.sc2
politicalid	2	461364	pinus.ybalab.qiat.sc2
religionid	2	461364	pinus.ybalab.qiat.sc2
genoccupation	27	461364	pinus.ybalab.qiat.sc2
occupation	27-3000	461364	pinus.ybalab.qiat.sc2
dayofbirth	28	461364	pinus.ybalab.qiat.sc2
raceomb	6	461364	pinus.ybalab.qiat.sc2
education	7	461364	pinus.ybalab.qiat.sc2
major	8	461364	pinus.ybalab.qiat.sc2
sex	m	461364	pinus.ybalab.qiat.sc2
religion	none	461364	pinus.ybalab.qiat.sc2
relfamily	spiritual, no organized religion	461364	pinus.ybalab.qiat.sc2
citizenship	us	461364	pinus.ybalab.qiat.sc2
residence	us	461364	pinus.ybalab.qiat.sc2
education	14	487050	pinus.ybalab.qiat.sc2
birthyear	1963	487050	pinus.ybalab.qiat.sc2
ethnicityomb	2	487050	pinus.ybalab.qiat.sc2
major	2	487050	pinus.ybalab.qiat.sc2
politicalid	2	487050	pinus.ybalab.qiat.sc2
religionid	2	487050	pinus.ybalab.qiat.sc2
genoccupation	25	487050	pinus.ybalab.qiat.sc2
occupation	25-5000	487050	pinus.ybalab.qiat.sc2
birthmonth	6	487050	pinus.ybalab.qiat.sc2
raceomb	6	487050	pinus.ybalab.qiat.sc2
dayofbirth	7	487050	pinus.ybalab.qiat.sc2
sex	f	487050	pinus.ybalab.qiat.sc2
religion	jewish	487050	pinus.ybalab.qiat.sc2
relfamily	reform	487050	pinus.ybalab.qiat.sc2
citizenship	us	487050	pinus.ybalab.qiat.sc2
residence	us	487050	pinus.ybalab.qiat.sc2
birthyear	.	536414	pinus.ybalab.qiat.sc2
citizenship	.	536414	pinus.ybalab.qiat.sc2
education	.	536414	pinus.ybalab.qiat.sc2
ethnicityomb	.	536414	pinus.ybalab.qiat.sc2
genoccupation	.	536414	pinus.ybalab.qiat.sc2
major	.	536414	pinus.ybalab.qiat.sc2
politicalid	.	536414	pinus.ybalab.qiat.sc2
raceomb	.	536414	pinus.ybalab.qiat.sc2
religion	.	536414	pinus.ybalab.qiat.sc2
religionid	.	536414	pinus.ybalab.qiat.sc2
residence	.	536414	pinus.ybalab.qiat.sc2
sex	.	536414	pinus.ybalab.qiat.sc2
religionid	1	544734	pinus.ybalab.qiat.sc2
genoccupation	15	544734	pinus.ybalab.qiat.sc2
occupation	15-1000	544734	pinus.ybalab.qiat.sc2
birthyear	1974	544734	pinus.ybalab.qiat.sc2
ethnicityomb	2	544734	pinus.ybalab.qiat.sc2
dayofbirth	20	544734	pinus.ybalab.qiat.sc2
politicalid	3	544734	pinus.ybalab.qiat.sc2
raceomb	6	544734	pinus.ybalab.qiat.sc2
education	7	544734	pinus.ybalab.qiat.sc2
major	8	544734	pinus.ybalab.qiat.sc2
birthmonth	9	544734	pinus.ybalab.qiat.sc2
relfamily	atheist	544734	pinus.ybalab.qiat.sc2
residence	de	544734	pinus.ybalab.qiat.sc2
sex	m	544734	pinus.ybalab.qiat.sc2
religion	none	544734	pinus.ybalab.qiat.sc2
citizenship	us	544734	pinus.ybalab.qiat.sc2
dayofbirth	.	753579	pinus.ybalab.qiat.sc2
politicalid	.	753579	pinus.ybalab.qiat.sc2
raceomb	.	753579	pinus.ybalab.qiat.sc2
religionid	1	753579	pinus.ybalab.qiat.sc2
genoccupation	11	753579	pinus.ybalab.qiat.sc2
occupation	11-3000	753579	pinus.ybalab.qiat.sc2
birthyear	1983	753579	pinus.ybalab.qiat.sc2
ethnicityomb	2	753579	pinus.ybalab.qiat.sc2
major	5	753579	pinus.ybalab.qiat.sc2
education	7	753579	pinus.ybalab.qiat.sc2
birthmonth	9	753579	pinus.ybalab.qiat.sc2
relfamily	atheist	753579	pinus.ybalab.qiat.sc2
sex	f	753579	pinus.ybalab.qiat.sc2
religion	none	753579	pinus.ybalab.qiat.sc2
residence	sm	753579	pinus.ybalab.qiat.sc2
citizenship	us	753579	pinus.ybalab.qiat.sc2
dayofbirth	.	821296	pinus.ybalab.qiat.sc2
politicalid	0	821296	pinus.ybalab.qiat.sc2
birthmonth	1	821296	pinus.ybalab.qiat.sc2
birthyear	1960	821296	pinus.ybalab.qiat.sc2
ethnicityomb	2	821296	pinus.ybalab.qiat.sc2
religionid	2	821296	pinus.ybalab.qiat.sc2
major	4	821296	pinus.ybalab.qiat.sc2
genoccupation	49	821296	pinus.ybalab.qiat.sc2
occupation	49-9000	821296	pinus.ybalab.qiat.sc2
education	5	821296	pinus.ybalab.qiat.sc2
raceomb	6	821296	pinus.ybalab.qiat.sc2
reldenom	just a christian	821296	pinus.ybalab.qiat.sc2
sex	m	821296	pinus.ybalab.qiat.sc2
relfamily	nondenominational	821296	pinus.ybalab.qiat.sc2
religion	protestant	821296	pinus.ybalab.qiat.sc2
citizenship	us	821296	pinus.ybalab.qiat.sc2
residence	us	821296	pinus.ybalab.qiat.sc2
dayofbirth	.	847807	pinus.ybalab.qiat.sc2
birthyear	1980	847807	pinus.ybalab.qiat.sc2
ethnicityomb	2	847807	pinus.ybalab.qiat.sc2
politicalid	2	847807	pinus.ybalab.qiat.sc2
religionid	2	847807	pinus.ybalab.qiat.sc2
genoccupation	25	847807	pinus.ybalab.qiat.sc2
occupation	25-9000	847807	pinus.ybalab.qiat.sc2
birthmonth	5	847807	pinus.ybalab.qiat.sc2
raceomb	5	847807	pinus.ybalab.qiat.sc2
education	7	847807	pinus.ybalab.qiat.sc2
major	8	847807	pinus.ybalab.qiat.sc2
sex	f	847807	pinus.ybalab.qiat.sc2
reldenom	other christian	847807	pinus.ybalab.qiat.sc2
relfamily	otherchristian	847807	pinus.ybalab.qiat.sc2
religion	protestant	847807	pinus.ybalab.qiat.sc2
residence	sm	847807	pinus.ybalab.qiat.sc2
citizenship	us	847807	pinus.ybalab.qiat.sc2
dayofbirth	.	934581	pinus.ybalab.qiat.sc2
birthyear	1980	934581	pinus.ybalab.qiat.sc2
ethnicityomb	2	934581	pinus.ybalab.qiat.sc2
politicalid	2	934581	pinus.ybalab.qiat.sc2
religionid	2	934581	pinus.ybalab.qiat.sc2
genoccupation	27	934581	pinus.ybalab.qiat.sc2
occupation	27-1000	934581	pinus.ybalab.qiat.sc2
birthmonth	5	934581	pinus.ybalab.qiat.sc2
raceomb	6	934581	pinus.ybalab.qiat.sc2
education	7	934581	pinus.ybalab.qiat.sc2
major	8	934581	pinus.ybalab.qiat.sc2
sex	f	934581	pinus.ybalab.qiat.sc2
religion	none	934581	pinus.ybalab.qiat.sc2
residence	sm	934581	pinus.ybalab.qiat.sc2
relfamily	spiritual, no organized religion	934581	pinus.ybalab.qiat.sc2
citizenship	us	934581	pinus.ybalab.qiat.sc2
dayofbirth	.	949374	pinus.ybalab.qiat.sc2
relfamily	.	949374	pinus.ybalab.qiat.sc2
birthyear	1952	949374	pinus.ybalab.qiat.sc2
ethnicityomb	2	949374	pinus.ybalab.qiat.sc2
politicalid	2	949374	pinus.ybalab.qiat.sc2
genoccupation	25	949374	pinus.ybalab.qiat.sc2
occupation	25-5000	949374	pinus.ybalab.qiat.sc2
birthmonth	4	949374	pinus.ybalab.qiat.sc2
religionid	4	949374	pinus.ybalab.qiat.sc2
education	5	949374	pinus.ybalab.qiat.sc2
raceomb	7	949374	pinus.ybalab.qiat.sc2
major	9	949374	pinus.ybalab.qiat.sc2
citizenship	au	949374	pinus.ybalab.qiat.sc2
residence	au	949374	pinus.ybalab.qiat.sc2
sex	m	949374	pinus.ybalab.qiat.sc2
religion	otherrelig	949374	pinus.ybalab.qiat.sc2
dayofbirth	.	983640	pinus.ybalab.qiat.sc2
genoccupation	.	983640	pinus.ybalab.qiat.sc2
major	.	983640	pinus.ybalab.qiat.sc2
religionid	1	983640	pinus.ybalab.qiat.sc2
birthyear	1995	983640	pinus.ybalab.qiat.sc2
ethnicityomb	2	983640	pinus.ybalab.qiat.sc2
birthmonth	3	983640	pinus.ybalab.qiat.sc2
education	3	983640	pinus.ybalab.qiat.sc2
politicalid	3	983640	pinus.ybalab.qiat.sc2
raceomb	8	983640	pinus.ybalab.qiat.sc2
relfamily	atheist	983640	pinus.ybalab.qiat.sc2
sex	f	983640	pinus.ybalab.qiat.sc2
religion	none	983640	pinus.ybalab.qiat.sc2
residence	sm	983640	pinus.ybalab.qiat.sc2
citizenship	us	983640	pinus.ybalab.qiat.sc2
citizenship	.	988830	pinus.ybalab.qiat.sc2
dayofbirth	.	988830	pinus.ybalab.qiat.sc2
education	.	988830	pinus.ybalab.qiat.sc2
ethnicityomb	.	988830	pinus.ybalab.qiat.sc2
genoccupation	.	988830	pinus.ybalab.qiat.sc2
major	.	988830	pinus.ybalab.qiat.sc2
politicalid	.	988830	pinus.ybalab.qiat.sc2
raceomb	.	988830	pinus.ybalab.qiat.sc2
religion	.	988830	pinus.ybalab.qiat.sc2
religionid	.	988830	pinus.ybalab.qiat.sc2
residence	.	988830	pinus.ybalab.qiat.sc2
birthyear	1969	988830	pinus.ybalab.qiat.sc2
sex	f	988830	pinus.ybalab.qiat.sc2
dayofbirth	.	993783	pinus.ybalab.qiat.sc2
politicalid	0	993783	pinus.ybalab.qiat.sc2
religionid	1	993783	pinus.ybalab.qiat.sc2
genoccupation	13	993783	pinus.ybalab.qiat.sc2
occupation	13-1000	993783	pinus.ybalab.qiat.sc2
birthyear	1960	993783	pinus.ybalab.qiat.sc2
ethnicityomb	2	993783	pinus.ybalab.qiat.sc2
major	2	993783	pinus.ybalab.qiat.sc2
raceomb	6	993783	pinus.ybalab.qiat.sc2
birthmonth	8	993783	pinus.ybalab.qiat.sc2
education	8	993783	pinus.ybalab.qiat.sc2
relfamily	atheist	993783	pinus.ybalab.qiat.sc2
sex	m	993783	pinus.ybalab.qiat.sc2
religion	none	993783	pinus.ybalab.qiat.sc2
residence	sm	993783	pinus.ybalab.qiat.sc2
citizenship	uk	993783	pinus.ybalab.qiat.sc2
dayofbirth	.	995611	pinus.ybalab.qiat.sc2
relfamily	.	995611	pinus.ybalab.qiat.sc2
religionid	1	995611	pinus.ybalab.qiat.sc2
birthyear	1947	995611	pinus.ybalab.qiat.sc2
ethnicityomb	2	995611	pinus.ybalab.qiat.sc2
politicalid	3	995611	pinus.ybalab.qiat.sc2
raceomb	6	995611	pinus.ybalab.qiat.sc2
education	7	995611	pinus.ybalab.qiat.sc2
major	8	995611	pinus.ybalab.qiat.sc2
birthmonth	9	995611	pinus.ybalab.qiat.sc2
genoccupation	99-0001	995611	pinus.ybalab.qiat.sc2
sex	m	995611	pinus.ybalab.qiat.sc2
religion	none	995611	pinus.ybalab.qiat.sc2
residence	sm	995611	pinus.ybalab.qiat.sc2
citizenship	us	995611	pinus.ybalab.qiat.sc2
dayofbirth	.	1039715	pinus.ybalab.qiat.sc2
politicalid	0	1039715	pinus.ybalab.qiat.sc2
education	13	1039715	pinus.ybalab.qiat.sc2
