"","session_id","dPlt","sex","age","orgn"
"1",9859614,"-2","f",65,"us"
"2",9854756,"2","f",63,"us"
"3",9864484,"3","m",70,"us"
"4",9854001,"2","m",35,"us"
"5",9861540,"2","f",54,"us"
"6",9860682,,,,
"7",9869388,"3","m",43,"us"
"8",9862452,,"f",34,"us"
"9",9869773,"0","m",57,"us"
"10",9863057,"2","f",37,"us"
"11",9859115,"2","f",37,"us"
"12",9869124,"2","m",65,"au"
"13",9864049,"3","f",22,"us"
"14",9857008,,"f",48,
"15",9858433,"0","m",57,"uk"
"16",9862704,"3","m",70,"us"
"17",9862705,"0","f",46,"de"
"18",9858417,"3","f",72,"us"
"19",9861069,"2","f",59,"us"
"20",9859902,"-2","m",25,"us"
"21",9865512,"-2","m",20,"de"
"22",9859013,,"f",35,
"23",9870973,"0","f",34,"ie"
"24",9859695,"3","f",52,"us"
"25",9866407,"3","f",46,"us"
"26",9858323,"1","f",67,"us"
"27",9860799,"1","m",28,"us"
"28",9856899,"3","f",24,"us"
"29",9865711,"2","m",37,"us"
"30",9869531,"0","f",25,"uk"
"31",9872521,"0","m",45,"us"
"32",9865612,"2","m",51,"fi"
"33",9856207,"2","f",44,"us"
"34",9863769,"2","f",21,"ch"
"35",9873230,"1","m",27,"us"
"36",9865096,"-2","f",48,"us"
"37",9865252,"1","f",27,"us"
"38",9855580,"2","m",28,"us"
"39",9865534,"-2","f",63,"us"
"40",9864546,"2","f",32,"us"
"41",9857861,,,42,
"42",9861929,"-2","f",44,"us"
"43",9851729,"2","f",23,"us"
"44",9856270,"2","f",55,"us"
"45",9855420,"2","f",29,"ca"
"46",9863211,"0","m",29,"us"
"47",9869551,"2","f",37,"us"
"48",9870791,"2","f",35,"ph"
"49",9860146,"1","f",73,"us"
"50",9867703,"-2","m",32,"us"
"51",9868835,"2","f",75,"us"
"52",9854989,"3","f",53,"us"
"53",9870226,"0","f",55,"us"
"54",9870139,"-2","m",61,"us"
"55",9861231,"0","f",49,"us"
"56",9868543,"2","f",21,"us"
"57",9867990,"0","f",19,"us"
"58",9863563,"3","f",32,"us"
"59",9861554,"3","f",61,"ca"
"60",9863365,"2","f",23,"ge"
"61",9870739,"-2","f",19,"us"
"62",9860039,"1","m",63,"us"
"63",9854858,"2","f",55,"ca"
"64",9857977,"0","f",25,"ao"
"65",9871982,"2","f",65,"us"
"66",9866615,"2","f",62,"us"
"67",9865260,"-2","f",25,"us"
"68",9855187,"3","f",21,"nz"
"69",9870642,"3","m",59,"in"
"70",9854654,"0","m",25,"us"
"71",9852030,"3","f",52,"ca"
"72",9869425,"-1","f",44,"de"
"73",9851622,"2","m",60,"us"
"74",9867737,"2","f",51,"us"
"75",9870223,"0","m",37,"us"
"76",9856612,"1","f",36,"us"
"77",9872891,"0","f",53,"br"
"78",9868343,"2","f",31,"us"
"79",9856145,"3","m",44,"uk"
"80",9851723,,,26,
"81",9853415,"-1","f",26,"us"
"82",9871480,"1","f",46,"us"
"83",9860704,"2","f",28,"us"
"84",9862158,"0","f",40,"au"
"85",9861363,"2","f",40,"us"
"86",9863131,"0","f",56,"us"
"87",9868647,"3","f",41,"us"
"88",9853490,"-2","f",38,"us"
"89",9867701,"0","f",45,"uk"
"90",9868639,"2","m",21,"it"
"91",9852457,"1","f",33,"uk"
"92",9869000,"3","m",50,"uk"
"93",9859244,"0","m",35,"us"
"94",9858188,"0","m",48,"us"
"95",9857998,"2","f",47,"us"
"96",9856429,,"m",39,"us"
"97",9858981,"-2","m",35,"us"
"98",9859166,"1","m",60,"us"
"99",9861954,"2","f",48,"au"
"100",9853293,"2","f",35,"mx"
"101",9858854,"2","m",46,"us"
"102",9852787,"-3","m",34,"us"
"103",9863755,"0","m",54,"us"
"104",9851856,"2","f",51,"us"
"105",9863506,"0","f",19,"my"
"106",9851684,"0","f",21,"us"
"107",9855975,,"m",55,"us"
"108",9858782,"3","f",33,"us"
"109",9856774,"0","m",46,"us"
"110",9866187,"1","f",50,"us"
"111",9868370,"1","m",43,"ca"
"112",9854511,"1","f",24,"us"
"113",9853062,"0","m",53,"us"
"114",9852473,"0","m",23,"ca"
"115",9856368,"2","f",38,"us"
"116",9867747,"-1","m",54,"nz"
"117",9852234,"0","f",28,"us"
"118",9856874,"-2","f",50,"us"
"119",9855742,"2","f",44,"nz"
"120",9852149,"1","f",34,"us"
"121",9853531,"0","f",26,"us"
"122",9852818,"0","f",45,"us"
"123",9851572,"0","f",28,"us"
"124",9855261,"0","m",56,"ca"
"125",9856200,"0","m",28,"us"
"126",9852354,"2","f",26,"au"
"127",9855654,"2","m",41,"uk"
"128",9854793,"3","f",51,"us"
"129",9852053,"0","f",37,"au"
"130",9851716,"2","f",57,"uk"
"131",9857338,"3","f",23,"ca"
"132",9860738,"3","f",35,"tt"
"133",9854969,"3","f",21,"ca"
"134",9860132,"0","m",61,"us"
"135",9851513,"-2","f",29,"us"
"136",9851633,"3","m",20,"us"
"137",9851595,"3","f",33,"ca"
"138",9851612,"2","f",43,"ca"
"139",9851616,"0","m",36,"us"
"140",9851619,"2","f",44,"us"
"141",9852692,"2","f",40,"us"
"142",9851643,"0","f",41,"us"
"143",9851642,"1","f",28,"us"
"144",9851664,"0","f",21,"us"
"145",9851666,"2","m",49,"us"
"146",9851676,"0","f",27,"us"
"147",9851689,"-1","m",51,"uk"
"148",9851708,"0","m",54,"us"
"149",9851715,"3","f",19,"us"
"150",9851737,"-1","f",51,"us"
"151",9851734,"0","m",64,"us"
"152",9851749,"3","f",26,"us"
"153",9851750,,"f",22,
"154",9851818,"-2","f",22,"us"
"155",9851841,"0","f",20,"ca"
"156",9851797,"0","f",33,"uk"
"157",9851806,"3","m",68,"us"
"158",9851835,"1","f",23,"us"
"159",9851864,"3","m",47,"us"
"160",9851871,"2","m",24,"us"
"161",9851924,"-1","m",29,"us"
"162",9851931,"1","m",34,"us"
"163",9851949,"2","f",34,"us"
"164",9855485,"-1","m",41,"us"
"165",9851979,"-2","m",29,"us"
"166",9851985,"1","m",46,"us"
"167",9852004,"-2","m",49,"us"
"168",9852070,"3","m",17,"mx"
"169",9853600,"1","m",56,"us"
"170",9852101,"2","m",29,"de"
"171",9852097,"0","f",20,"nz"
"172",9852113,"1","f",28,"us"
"173",9852132,"2","f",35,"us"
"174",9856441,"0","f",24,"us"
"175",9855352,"1","m",22,"uk"
"176",9852155,"2","f",50,"us"
"177",9852163,"-1","m",33,"in"
"178",9852194,"0","f",42,"uk"
"179",9852252,"0","f",25,"us"
"180",9852217,"0","m",21,"us"
"181",9852231,"0","f",32,"au"
"182",9852235,"1","f",37,"us"
"183",9852273,"2","f",37,"us"
"184",9852315,"0","f",52,"us"
"185",9863197,"-2","f",33,"us"
"186",9852332,"2","f",25,"us"
"187",9852376,"2","m",24,"us"
"188",9852384,"3","f",52,"de"
"189",9857704,"0","m",49,"cn"
"190",9852400,"2","f",27,"cn"
"191",9852419,"2","f",35,"se"
"192",9852434,"2","f",56,"au"
"193",9852437,"3","f",23,"us"
"194",9852474,"-2","m",59,"us"
"195",9852503,"0","f",19,"fr"
"196",9852487,"2","f",29,"us"
"197",9852508,"-1","m",50,"de"
"198",9852513,"0","m",43,"us"
"199",9852589,"0","m",27,"us"
"200",9852569,"2","m",35,"de"
"201",9852646,"-1","f",52,"us"
"202",9852570,,"f",51,"ec"
"203",9852563,"1","m",36,"us"
"204",9854752,"0","m",58,"uk"
"205",9852601,"1","m",26,"es"
"206",9852717,"3","m",58,"uk"
"207",9852636,"0","m",23,"uk"
"208",9852960,"3","f",29,"us"
"209",9852798,"3","f",46,"us"
"210",9852706,"0","f",21,"us"
"211",9852779,"1","m",46,"us"
"212",9852765,"0","f",49,"au"
"213",9852763,"2","f",38,"us"
"214",9852850,"3","m",25,"us"
"215",9852866,"2","f",21,"us"
"216",9854117,"-2","m",21,"us"
"217",9852898,"0","f",21,"mx"
"218",9852827,"3","f",29,"us"
"219",9852935,"3","f",31,"us"
"220",9852877,"1","f",30,"us"
"221",9852901,"3","m",37,"ca"
"222",9853006,"3","m",23,"us"
"223",9852978,"0","f",46,"us"
"224",9853014,"2","f",77,"us"
"225",9852973,"2","m",45,"us"
"226",9853033,"3","m",44,"in"
"227",9856873,"2","f",21,"us"
"228",9853046,"3","f",25,"us"
"229",9853059,"0","m",46,"us"
"230",9853085,"0","f",59,"us"
