"","session_id","rsesQ04rt","rsesQ04","rsesQ01rt","rsesQ01","rsesQ06rt","rsesQ06","rsesQ10rt","rsesQ10","rsesQ02rt","rsesQ02","rsesQ08rt","rsesQ08","rsesQ05rt","rsesQ05","rsesQ09rt","rsesQ09","rsesQ03rt","rsesQ03","rsesQ07rt","rsesQ07","deqQ06rt","deqQ06","deqQ05rt","deqQ05","deqQ02rt","deqQ02","deqQ03rt","deqQ03","deqQ01","deqQ01rt","deqQ04","deqQ04rt","sdsQ1rt","sdsQ1","sdsQ13rt","sdsQ13","sdsQ3","sdsQ3rt","sdsQ9","sdsQ9rt","sdsQ5rt","sdsQ5","sdsQ2rt","sdsQ2","sdsQ15","sdsQ15rt","sdsQ4rt","sdsQ4","cesdQ03rt","cesdQ03","cesdQ04rt","cesdQ04","cesdQ02rt","cesdQ02","cesdQ01rt","cesdQ01","cesdQ05","cesdQ05rt","cesdScore","sdsQ7rt","sdsQ7","sdsQ16rt","sdsQ16","sdsQ10rt","sdsQ10","sdsQ6","sdsQ6rt","sdsQ14rt","sdsQ14","sdsQ8rt","sdsQ8","sdsQ11rt","sdsQ11","sdsQ12rt","sdsQ12","rsesQ02r","rsesQ05r","rsesQ06r","rsesQ08r","rsesQ09r","rses","deq6","sdsQ1r","sdsQ2r","sdsQ3r","sdsQ6r","sdsQ7r","sdsQ8r","sdsQ10r","sdsQ11r","sdsQ12r","sdsQ14r","sds"
"1",9851513,5043,4,2681,4,2921,3,2042,4,3081,1,4106,2,3330,2,3696,1,2240,4,5744,3,4723,3,2378,4,4171,3,3394,3,3,4386339,2,4339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,4,3.5,3,,,,,,,,,,,
"2",9851595,3231,3,2058,3,5121,3,2230,3,2998,3,1699,3,2465,2,3133,2,1552,3,5105,3,2906,3,1724,4,6243,2,2768,3,3,1938,3,10765,6740,1,4220,1,1,4107,1,2473,2803,1,3235,2,1,2635,1779,1,16251,1,5624,1,4391,1,2275,1,2,2178,0,,,,,,,,,,,,,,,,,2,3,2,2,3,2.7,3,2,1,2,,,,,,,,1.25
"3",9851612,7942,4,5196,2,13928,3,6138,3,4391,3,5329,3,3306,2,4378,2,4086,3,4542,3,4794,3,6681,3,6648,3,4530,2,3,2940,3,4106,3984,1,5106,1,1,3882,,,,,,,1,4565,4066,1,4859,1,11537,3,4116,2,5902,2,2,7672,4,4108,1,2982,2,7212,1,,,,,,,,,,,2,3,2,2,3,2.7,2.83333333333333,2,,2,,2,,2,,,,1.625
"4",9851616,5001,3,3009,3,7579,3,7547,2,4200,3,2608,3,5241,2,4913,1,3413,3,7775,3,5414,3,2212,4,5125,3,2214,3,4,2384,4,2721,,,,,2,4083,1,2346,3116,1,,,1,3294,3699,1,5616,1,4321,3,9553,3,2462,2,2,2978,5,5616,1,,,4045,1,1,4945,,,,,,,,,2,3,2,2,4,2.7,3.5,,,1,2,2,,2,,,,1.375
"5",9851619,6749,2,16416,2,4463,3,5389,2,4028,3,3599,3,16832,2,17073,3,11838,3,17343,3,4734,3,3281,4,10970,3,7526,3,2,5012,3,5402,,,6859,1,,,1,7160,4272,1,22465,2,,,,,5072,1,5671,2,3888,1,14011,1,3,6728,1,8880,2,4574,2,,,1,3377,2784,2,,,,,,,2,3,2,2,2,2.3,3,,1,,2,1,,,,,1,1.25
"6",9851633,31741,4,4306,4,3416,1,3080,4,6469,2,6278,3,9862,3,4924,1,8611,4,5338,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,2,4,3.5,,,,,,,,,,,,
"7",9851642,3453,4,1709,4,3271,2,3218,4,2806,2,2173,1,2663,1,7310,2,4598,4,3777,4,3958,4,2563,3,5697,2,4096,3,2,4026,3,2671,,,,,2,3068,1,3348,,,1913,2,1,3718,2393,2,4139,1,3796,2,4309,1,1797,1,2,2333,1,,,1847,1,,,2,3620,2024,2,,,,,,,3,4,3,4,3,3.7,2.83333333333333,,1,1,1,,,,,,1,1.125
"8",9851664,3362,4,2683,3,3206,3,1688,3,4039,3,4647,2,2007,3,5214,2,2992,3,7303,4,2482,4,2973,4,14688,2,8730,3,3,4720,3,13079,3864,2,3069,1,,,,,4962,1,,,,,2915,1,11569,3,4508,3,2398,2,2376,2,2,3188,6,,,,,3588,2,2,5581,,,5772,1,8413,2,,,2,2,2,3,3,2.9,3.16666666666667,1,,,1,,2,1,1,,,1.125
"9",9851666,10520,3,3544,2,10069,4,4247,2,5069,4,14675,3,5432,3,9910,3,4772,3,7671,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2.1,,,,,,,,,,,,
"10",9851676,4839,2,2485,2,5376,4,2014,4,6360,1,3108,4,3476,3,4526,4,3192,3,6660,3,3207,4,2756,4,9252,4,7760,2,4,3306,3,3983,,,,,,,2,3549,5904,2,,,2,4258,,,2977,1,2401,2,47683,3,6454,2,4,3898,4,2606,1,3403,2,,,1,3441,,,5491,1,4672,1,,,4,2,1,1,1,2.3,3.5,,,,2,2,2,,2,,,2
"11",9851689,6507,3,3303,4,3232,1,3293,4,3827,1,4331,1,4301,1,4691,1,4009,4,4478,4,10130,3,3227,2,7568,2,7039,4,2,6623,2,4915,5406,1,,,,,,,,,,,2,6011,4798,2,4938,1,8328,3,4557,2,5988,1,2,5910,3,5293,1,4600,1,5651,1,1,4514,,,,,5516,1,,,4,4,4,4,4,3.9,2.5,2,,,2,2,,2,2,,,1.875
"12",9851708,4146,3,6142,3,4264,2,4248,3,12327,2,5396,2,4898,2,7122,2,5835,3,11605,3,5534,2,4632,2,18614,3,5875,3,2,9504,3,6705,,,,,,,,,,,6043,2,1,6482,13082,2,4640,1,5611,1,6203,1,3495,1,1,6792,0,11548,1,,,9372,1,1,5806,4283,2,5295,1,,,,,3,3,3,3,3,3,2.5,,1,,2,2,2,2,,,1,1.625
"13",9851715,6634,3,2587,3,3134,1,2602,3,3131,2,4996,2,3164,1,3401,1,4249,4,5827,4,3272,2,2965,4,6275,2,2798,2,1,5214,4,5546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,4,3.5,2.5,,,,,,,,,,,
