"","session_id","blockOrder"
"1",9851664,"High Trait First"
"2",9851708,"Low Trait First"
"3",9851716,"High Trait First"
"4",9851723,"High Trait First"
"5",9851806,"Low Trait First"
"6",9851818,"High Trait First"
"7",9851871,"Low Trait First"
"8",9851949,"High Trait First"
"9",9852004,"High Trait First"
"10",9852097,"High Trait First"
"11",9852101,"High Trait First"
"12",9852113,"High Trait First"
"13",9852132,"High Trait First"
"14",9852194,"Low Trait First"
"15",9852235,"Low Trait First"
"16",9852332,"Low Trait First"
"17",9852437,"High Trait First"
"18",9852503,"High Trait First"
"19",9852563,"Low Trait First"
"20",9852569,"Low Trait First"
"21",9852636,"Low Trait First"
"22",9852866,"Low Trait First"
"23",9852877,"High Trait First"
"24",9852973,"Low Trait First"
"25",9853014,"Low Trait First"
"26",9853046,"Low Trait First"
"27",9853062,"Low Trait First"
"28",9853085,"High Trait First"
"29",9853118,"High Trait First"
"30",9853246,"Low Trait First"
"31",9853263,"Low Trait First"
"32",9853276,"High Trait First"
"33",9853293,"Low Trait First"
"34",9853333,"High Trait First"
"35",9853355,"Low Trait First"
"36",9853415,"Low Trait First"
"37",9853462,"Low Trait First"
"38",9853490,"Low Trait First"
"39",9853578,"Low Trait First"
"40",9853599,"Low Trait First"
"41",9853600,"High Trait First"
"42",9853620,"High Trait First"
"43",9853671,"Low Trait First"
"44",9853710,"Low Trait First"
"45",9853891,"High Trait First"
"46",9853937,"High Trait First"
"47",9853954,"High Trait First"
"48",9853966,"High Trait First"
"49",9853973,"High Trait First"
"50",9854001,"Low Trait First"
"51",9854029,"High Trait First"
"52",9854037,"High Trait First"
"53",9854117,"High Trait First"
"54",9854207,"High Trait First"
"55",9854238,"Low Trait First"
"56",9854281,"Low Trait First"
"57",9854291,"High Trait First"
"58",9854297,"Low Trait First"
"59",9854315,"Low Trait First"
"60",9854337,"Low Trait First"
"61",9854369,"High Trait First"
"62",9854433,"Low Trait First"
"63",9854588,"High Trait First"
"64",9854636,"High Trait First"
"65",9854675,"Low Trait First"
"66",9854793,"High Trait First"
"67",9854835,"Low Trait First"
"68",9854841,"High Trait First"
"69",9854848,"High Trait First"
"70",9854969,"Low Trait First"
"71",9854983,"High Trait First"
"72",9855127,"High Trait First"
"73",9855150,"Low Trait First"
"74",9855175,"High Trait First"
"75",9855384,"High Trait First"
"76",9855431,"Low Trait First"
"77",9855518,"Low Trait First"
"78",9855535,"Low Trait First"
"79",9855549,"Low Trait First"
"80",9855565,"High Trait First"
"81",9855567,"High Trait First"
"82",9855607,"Low Trait First"
"83",9855610,"Low Trait First"
"84",9855630,"Low Trait First"
"85",9855646,"Low Trait First"
"86",9855651,"High Trait First"
"87",9855668,"Low Trait First"
"88",9855691,"High Trait First"
"89",9855732,"High Trait First"
"90",9855762,"Low Trait First"
"91",9855833,"Low Trait First"
"92",9855837,"High Trait First"
"93",9855918,"High Trait First"
"94",9856031,"Low Trait First"
"95",9856081,"High Trait First"
"96",9856145,"Low Trait First"
"97",9856202,"High Trait First"
"98",9856220,"Low Trait First"
"99",9856329,"Low Trait First"
"100",9856434,"High Trait First"
"101",9856445,"Low Trait First"
"102",9856478,"High Trait First"
"103",9856486,"High Trait First"
"104",9856536,"Low Trait First"
"105",9856564,"High Trait First"
"106",9856566,"High Trait First"
"107",9856575,"Low Trait First"
"108",9856594,"Low Trait First"
"109",9856647,"High Trait First"
"110",9856681,"High Trait First"
"111",9856707,"High Trait First"
"112",9856770,"High Trait First"
"113",9856910,"Low Trait First"
"114",9856974,"High Trait First"
"115",9857203,"Low Trait First"
"116",9857255,"Low Trait First"
"117",9857286,"Low Trait First"
"118",9857338,"Low Trait First"
"119",9857352,"High Trait First"
"120",9857419,"Low Trait First"
"121",9857436,"Low Trait First"
"122",9857448,"Low Trait First"
"123",9857477,"High Trait First"
"124",9857567,"High Trait First"
"125",9857597,"Low Trait First"
"126",9857665,"High Trait First"
"127",9857715,"Low Trait First"
"128",9857729,"High Trait First"
"129",9857753,"Low Trait First"
"130",9857803,"Low Trait First"
"131",9857831,"Low Trait First"
"132",9857864,"High Trait First"
"133",9857962,"High Trait First"
"134",9858002,"High Trait First"
"135",9858054,"Low Trait First"
"136",9858087,"Low Trait First"
"137",9858131,"Low Trait First"
"138",9858138,"High Trait First"
"139",9858147,"High Trait First"
"140",9858160,"High Trait First"
"141",9858178,"Low Trait First"
"142",9858319,"Low Trait First"
"143",9858323,"High Trait First"
"144",9858414,"Low Trait First"
"145",9858417,"High Trait First"
"146",9858530,"Low Trait First"
"147",9858531,"High Trait First"
"148",9858549,"Low Trait First"
"149",9858571,"High Trait First"
"150",9858605,"High Trait First"
"151",9858612,"Low Trait First"
"152",9858620,"High Trait First"
"153",9858641,"High Trait First"
"154",9858650,"Low Trait First"
"155",9858672,"High Trait First"
"156",9858708,"High Trait First"
"157",9858725,"High Trait First"
"158",9858726,"High Trait First"
"159",9858753,"High Trait First"
"160",9858755,"High Trait First"
"161",9858782,"Low Trait First"
"162",9858797,"High Trait First"
"163",9858830,"High Trait First"
"164",9858854,"Low Trait First"
"165",9858858,"Low Trait First"
"166",9858862,"High Trait First"
"167",9859007,"Low Trait First"
"168",9859049,"High Trait First"
"169",9859060,"Low Trait First"
"170",9859070,"Low Trait First"
"171",9859115,"High Trait First"
"172",9859156,"Low Trait First"
"173",9859220,"Low Trait First"
"174",9859242,"High Trait First"
"175",9859257,"Low Trait First"
"176",9859274,"Low Trait First"
"177",9859308,"Low Trait First"
"178",9859311,"Low Trait First"
"179",9859328,"High Trait First"
"180",9859340,"High Trait First"
"181",9859360,"High Trait First"
"182",9859369,"Low Trait First"
"183",9859392,"Low Trait First"
"184",9859419,"Low Trait First"
"185",9859436,"High Trait First"
"186",9859480,"High Trait First"
"187",9859580,"High Trait First"
"188",9859588,"Low Trait First"
"189",9859621,"High Trait First"
"190",9859627,"High Trait First"
"191",9859639,"High Trait First"
"192",9859725,"High Trait First"
"193",9859736,"Low Trait First"
"194",9859801,"High Trait First"
"195",9859807,"Low Trait First"
"196",9859811,"Low Trait First"
"197",9859817,"High Trait First"
"198",9859882,"High Trait First"
"199",9860039,"High Trait First"
"200",9860051,"Low Trait First"
"201",9860090,"Low Trait First"
"202",9860133,"High Trait First"
"203",9860146,"Low Trait First"
"204",9860148,"Low Trait First"
"205",9860237,"Low Trait First"
"206",9860249,"Low Trait First"
"207",9860290,"Low Trait First"
"208",9860350,"Low Trait First"
"209",9860383,"High Trait First"
"210",9860421,"High Trait First"
"211",9860437,"Low Trait First"
"212",9860439,"Low Trait First"
"213",9860448,"Low Trait First"
"214",9860480,"High Trait First"
"215",9860583,"High Trait First"
"216",9860630,"Low Trait First"
"217",9860632,"Low Trait First"
"218",9860652,"High Trait First"
"219",9860787,"Low Trait First"
"220",9860861,"Low Trait First"
"221",9860866,"Low Trait First"
"222",9860919,"High Trait First"
"223",9860928,"Low Trait First"
"224",9860954,"High Trait First"
"225",9860959,"Low Trait First"
"226",9860963,"High Trait First"
"227",9860969,"Low Trait First"
"228",9860977,"High Trait First"
"229",9861008,"High Trait First"
"230",9861023,"High Trait First"
"231",9861033,"Low Trait First"
"232",9861135,"Low Trait First"
"233",9861144,"High Trait First"
"234",9861154,"Low Trait First"
"235",9861193,"Low Trait First"
"236",9861245,"Low Trait First"
"237",9861308,"Low Trait First"
"238",9861309,"Low Trait First"
"239",9861445,"High Trait First"
"240",9861454,"High Trait First"
"241",9861461,"High Trait First"
"242",9861535,"High Trait First"
"243",9861563,"Low Trait First"
"244",9861583,"High Trait First"
"245",9861664,"High Trait First"
"246",9861694,"Low Trait First"
"247",9861805,"High Trait First"
"248",9861826,"Low Trait First"
"249",9861873,"Low Trait First"
"250",9861876,"High Trait First"
"251",9861888,"High Trait First"
"252",9861905,"Low Trait First"
"253",9861959,"High Trait First"
"254",9861980,"High Trait First"
"255",9861981,"Low Trait First"
"256",9862028,"Low Trait First"
"257",9862110,"High Trait First"
"258",9862158,"Low Trait First"
"259",9862212,"Low Trait First"
"260",9862230,"Low Trait First"
"261",9862254,"Low Trait First"
"262",9862271,"Low Trait First"
"263",9862293,"High Trait First"
"264",9862295,"High Trait First"
"265",9862297,"Low Trait First"
"266",9862324,"High Trait First"
"267",9862327,"High Trait First"
"268",9862337,"High Trait First"
"269",9862379,"High Trait First"
"270",9862424,"Low Trait First"
"271",9862452,"High Trait First"
"272",9862485,"High Trait First"
"273",9862561,"Low Trait First"
"274",9862581,"High Trait First"
"275",9862582,"High Trait First"
"276",9862619,"High Trait First"
"277",9862705,"High Trait First"
"278",9862747,"Low Trait First"
"279",9862996,"Low Trait First"
"280",9863024,"High Trait First"
"281",9863053,"Low Trait First"
"282",9863072,"High Trait First"
"283",9863111,"Low Trait First"
"284",9863141,"Low Trait First"
"285",9863151,"Low Trait First"
"286",9863185,"Low Trait First"
"287",9863197,"Low Trait First"
"288",9863213,"High Trait First"
"289",9863227,"Low Trait First"
"290",9863274,"High Trait First"
"291",9863281,"Low Trait First"
"292",9863333,"Low Trait First"
"293",9863436,"Low Trait First"
"294",9863506,"Low Trait First"
"295",9863567,"Low Trait First"
"296",9863578,"Low Trait First"
"297",9863605,"High Trait First"
"298",9863675,"High Trait First"
"299",9863682,"High Trait First"
"300",9863710,"Low Trait First"
