"","session_id","blockOrder"
"1",9851595,"High Trait First"
"2",9851612,"Low Trait First"
"3",9851616,"High Trait First"
"4",9851619,"Low Trait First"
"5",9851642,"High Trait First"
"6",9851676,"High Trait First"
"7",9851689,"High Trait First"
"8",9851841,"Low Trait First"
"9",9851856,"High Trait First"
"10",9851931,"Low Trait First"
"11",9851979,"Low Trait First"
"12",9852149,"Low Trait First"
"13",9852155,"High Trait First"
"14",9852163,"Low Trait First"
"15",9852376,"Low Trait First"
"16",9852384,"High Trait First"
"17",9852400,"Low Trait First"
"18",9852434,"Low Trait First"
"19",9852473,"High Trait First"
"20",9852487,"Low Trait First"
"21",9852763,"Low Trait First"
"22",9852818,"High Trait First"
"23",9853006,"Low Trait First"
"24",9853086,"Low Trait First"
"25",9853106,"High Trait First"
"26",9853322,"High Trait First"
"27",9853386,"Low Trait First"
"28",9853587,"Low Trait First"
"29",9853589,"High Trait First"
"30",9853931,"High Trait First"
"31",9854003,"Low Trait First"
"32",9854139,"Low Trait First"
"33",9854196,"High Trait First"
"34",9854266,"High Trait First"
"35",9854274,"High Trait First"
"36",9854467,"High Trait First"
"37",9854756,"High Trait First"
"38",9854791,"Low Trait First"
"39",9854794,"Low Trait First"
"40",9854806,"High Trait First"
"41",9854858,"Low Trait First"
"42",9854874,"Low Trait First"
"43",9854934,"Low Trait First"
"44",9854958,"High Trait First"
"45",9854984,"High Trait First"
"46",9855002,"Low Trait First"
"47",9855027,"Low Trait First"
"48",9855095,"Low Trait First"
"49",9855125,"High Trait First"
"50",9855187,"High Trait First"
"51",9855208,"High Trait First"
"52",9855248,"Low Trait First"
"53",9855251,"High Trait First"
"54",9855420,"High Trait First"
"55",9855430,"High Trait First"
"56",9855460,"High Trait First"
"57",9855505,"Low Trait First"
"58",9855507,"Low Trait First"
"59",9855517,"Low Trait First"
"60",9855559,"Low Trait First"
"61",9855631,"High Trait First"
"62",9855657,"Low Trait First"
"63",9855703,"High Trait First"
"64",9855774,"High Trait First"
"65",9855786,"High Trait First"
"66",9855975,"Low Trait First"
"67",9855977,"Low Trait First"
"68",9856040,"Low Trait First"
"69",9856069,"High Trait First"
"70",9856136,"High Trait First"
"71",9856191,"High Trait First"
"72",9856217,"Low Trait First"
"73",9856280,"Low Trait First"
"74",9856368,"Low Trait First"
"75",9856382,"Low Trait First"
"76",9856520,"Low Trait First"
"77",9856537,"High Trait First"
"78",9856548,"Low Trait First"
"79",9856551,"High Trait First"
"80",9856569,"Low Trait First"
