"","session_id","ord0","ord1","ord2","ord3","ord4","ord5","ord6","ord7","ord8","ord9","ord10","ord11","ord12","ord13","session_last_update_date","t.cesd","t.consent","t.deq","t.instcesd","t.instdeq","t.instiat","t.instqiat","t.instrses","t.instsds","t.lastpage","t.pimgr","t.realstart","t.rses","t.sc.iat","t.sc.qiat","t.sds","total_secs","completion_secs"
"1",9851513,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instiat",,,,,,,,,31,4406,,4,,,8,,,2,7,36,,,,4494,
"2",9851572,"pimgr","consent","realstart",,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,4,
"3",9851595,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat","instsds","sds","instcesd","cesd","lastpage",2017-06-15 15:37:54,31,5,27,2,1,,1,1,3,0,0,2,30,,569,28,700,700
"4",9851612,"pimgr","consent","realstart","instrses","rses","instqiat","sc.qiat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-15 15:52:13,35,28,31,7,8,,7,8,9,0,1,7,60,,746,37,984,984
"5",9851616,"pimgr","consent","realstart","instrses","rses","instqiat","sc.qiat","instdeq","deq","instcesd","cesd","instsds","sds","lastpage",2017-06-15 15:52:13,25,7,21,3,3,,5,3,2,0,1,4,52,,708,32,866,866
"6",9851619,"pimgr","consent","realstart","instdeq","deq","instqiat","sc.qiat","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-15 15:55:41,36,11,37,2,1,,5,7,2,0,0,2,104,,748,61,1016,1016
"7",9851622,"pimgr","consent","realstart",,,,,,,,,,,,,,4,,,,,,,,,0,,,,,,4,
"8",9851633,"pimgr","consent","realstart","instrses","rses","instiat",,,,,,,,,,,2,,,,,,2,,,1,1,84,,,,90,
"9",9851642,"pimgr","consent","realstart","instrses","rses","instdeq","deq","instqiat","sc.qiat","instcesd","cesd","instsds","sds","lastpage",2017-06-15 16:02:34,17,10,24,5,14,,4,7,1,0,1,4,35,,523,23,668,668
"10",9851643,"pimgr","consent","realstart","instrses","rses",,,,,,,,,,,,4,,,,,,7,,,1,6,,,,,18,
"11",9851664,"pimgr","consent","realstart","instdeq","deq","instiat","sc.iat","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-15 16:12:18,24,7,47,2,4,4,,6,2,0,2,2,39,340,,39,518,518
"12",9851666,"pimgr","consent","realstart","instrses","rses","instqiat","sc.qiat",,,,,,,,,,9,,,,,6,9,,,2,7,78,,,,111,
"13",9851676,"pimgr","consent","realstart","instdeq","deq","instqiat","sc.qiat","instrses","rses","instsds","sds","instcesd","cesd","lastpage",2017-06-15 16:26:25,63,4,31,2,13,,5,10,4,0,0,7,43,,688,34,904,904
"14",9851684,"pimgr","consent",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,
"15",9851689,"pimgr","consent","realstart","instdeq","deq","instrses","rses","instqiat","sc.qiat","instsds","sds","instcesd","cesd","lastpage",2017-06-15 16:36:24,30,14,40,6,9,,7,11,8,0,2,10,42,,758,42,979,979
"16",9851708,"pimgr","consent","realstart","instrses","rses","instiat","sc.iat","instdeq","deq","instsds","sds","instcesd","cesd","lastpage",2017-06-15 16:43:57,30,34,53,17,10,30,,14,12,0,1,19,68,470,,64,822,822
