"","part1id","age","total_mins_t1","total_mins_t2","cheated","hidden_words_RT_1","hidden_words_RT_2","hidden_words_RT_3","hidden_words_RT_4","hidden_words_RT_5","hidden_words_RT_6","hidden_words_RT_7","hidden_words_RT_8","hidden_words_RT_9","hidden_words_RT_10","StartDate_t1","expecting","estimateFirstTrial","estimateSeconds","satis_gen","satis_speed","satis_firstTrial","estimateVsReal","ins_hidden_words_RetriesQ","ins_hidden_words_RT","duration_t1","batch","hidden_words_RetriesQ1","hidden_words_RetriesQ2","hidden_words_RetriesQ3","hidden_words_RetriesQ4","hidden_words_RetriesQ5","hidden_words_RetriesQ6","hidden_words_RetriesQ7","hidden_words_RetriesQ8","hidden_words_RetriesQ9","hidden_words_RetriesQ10","FL_16_DO_FL_19","FL_16_DO_FL_20","FL_16_DO_FL_21","FL_16_DO_FL_22","realSeconds","Higher1","Higher2","Lower1","Lower2","allCompareCorrect","realFirstTrial","ResponseId","StartDate_t2","age_t2","memory","change","retrospectiveSC_1","retrospectiveSC_2","retrospectiveSC_3","retrospectiveSC_4","retrospectiveSC_5","retrospectiveSC_6","duration_t2","Finished","duplicated","total_qualtrics_min","inter_session_days","HWGsatis","HWGmeanRetries","countInfoItemsHigher","countInfoItemsLower","countInfoDiff","expectSatisDiff","total_secs_t1","female","bsi09_t1","bsi39_t1","rses_t1","cesd_t1","bsi.general_t1","bsi.Depression_t1","fscrsHS_t1","fscrsIS_t1","fscrsRS_t1","qIATSC_t1","qIATSE_t1","total_secs_t2","bsi09_t2","bsi39_t2","rses_t2","cesd_t2","bsi.general_t2","bsi.Depression_t2","fscrsHS_t2","fscrsIS_t2","fscrsRS_t2","qIATSC_t2","qIATSE_t2","total_time_min"
"1","109",22,74.8833333333333,49.2,FALSE,23264,331785,68773,530090,61243,23241,16957,206214,307343,9582,2018-05-08 09:50:54,86,71,10,27,20,19,2,1,17477,48.8333333333333,"lab",1,4,1,3,1,1,1,3,1,1,4,3,1,2,157.8492,4,4,10,9,TRUE,7,"R_1hYV7ndfBl3Af6c",2018-05-15 09:24:09,22,"בניסוי שהשתתפתי בו לפני שבוע, שיחקתי במשחק בו הציגו לי איזהשהו הקשר מסוים, ולאחר מכן משפט, שבתוכו אני צריכה למצוא מילה מוסתרת שקשורה להקשר שהוצג, לדוגמא : הקשר-אש, מילה מוסתרת- בעירה. בהתחלה ניתנה לי דוגמא למשחק, ולאחר מכן נשאלתי מספר שאלות: בכמה זמן אני חושבת שאצליח לענות על השאלות, כמה שאלות אני חושבת שאצליח לפתור, (לדעתי היו עוד כמה שאלות ואני פשוט לא זוכרת מה הן). אחרי שעניתי על השאלות האלו, התחלתי לשחק במשחק שהיו בו בין 7 ל-9 סיבובים. כשסיימתי לשחק, הציגו לי תוצאות של שחקנים אחרים לצד התוצאות שלי, פר סיבוב. הייתי צריכה להחליט למי הייתה תוצאה סופית טובה יותר. היו שני שחקנים שהיו פחות טובים ממני במשחק ואחד שהיה יותר טוב. זה כל מה שזכור לי לגבי הניסוי.","הייתי רוצה לבוא יותר מרוכזת ומפוקסת, כדי להצליח יותר במשימה.",78,72,48,53,34,66,26.8666666666667,TRUE,FALSE,75.7,6.98142361111111,22,1.7,4,9.5,5.5,64,1563,"1",0,0,1.4,26,1.28301886792453,1.16666666666667,0.8,2,1.5,0.439165717102264,-0.161561273198265,1340,0,0,1.4,27,1.41509433962264,2.16666666666667,0.2,1.77777777777778,1.25,-0.00534479482130298,0.0263228600840147,124.083333333333
"2","110",24,48.7833333333333,26.0166666666667,FALSE,523785,154927,18408,5478,238116,88197,15028,28490,52243,29334,2018-05-09 10:16:45,59,29,60,18,20,30,2,3,171965,28,"lab",3,2,1,1,10,8,1,7,7,1,2,1,3,4,115.4006,6,5,5,3,TRUE,4,"R_2uDwHXRkrh40Utm",2018-05-16 10:09:15,24,"החלק הראשון של המחקר היה מאוד מתסכל, לא הבנתי עד הסוף את הרמזים שניתנו לי בהתחלה ולקח לי הרבה זמ למצוא את המילה המסתתרת בין המשפטים. באיזשהו שלב יצאתי מהחדר ופניתי למיכאל אם הוא יכול להסביר לי משהו והוא לא יכ לתת לי תשובה, דבר שתיסכל אותי מאוד וגרם לי לרצות לעזוב את הניסוי באמצע. אחרי שעברתי את השלב המתסכל שנתקעתי עליו יותר מ10 דקות שאר המשפטים היו יותר  ברורים והבנתי את המשימה בצורה טובה יותר","הייתי מאוד עצבנית ורציתי לעזוב את הניסוי מתסכול, אולי אם הייתי נרגעת הייתי מצליחה יותר",65,7,31,5,3,5,11.0833333333333,TRUE,FALSE,39.0833333333333,6.99479166666667,22.6666666666667,4.1,5.5,4,-1.5,36.3333333333333,1247,"1",0,0,3,1,0.169811320754717,0,0,0.666666666666667,3.625,-0.648729044604286,0.257351391989437,896,0,0,2.9,2,0.0377358490566038,0,0,0,3.75,-0.489026880948744,0.295971954705691,74.8
"3","111",23,36.3333333333333,50.1666666666667,FALSE,103435,9868,117727,10802,12840,139942,10230,72286,9186,74063,2018-05-15 12:50:28,91,29,15,28,60,18,6,1,26309,17.9666666666667,"lab",8,1,7,1,1,10,1,10,1,7,3,4,2,1,56.0379,1,2,3,2,TRUE,5,"R_1ovepW1x4O5QiMR",2018-05-22 12:30:06,23,"בחלקו הראשון של הניסוי הציגו לי משפטים ואחריהם מושג כלשהו שעבורו התבקשתי למצוא מילה נפרדת שתופיע במשפט ברצף אך יתכן שבמילים מופרדות. היו משפטים שבהם הצלחתי בפעם הראשונה והיו אחרים שבהם רק אחרי 8 נסיונות. לאחר מכן הציגו לי נתונים על משתתף אחר והייתי צריכה להחליט אם הוא טוב ממני או לא על פי הנתונים שהוצגו בפני על כעבור כמה נסיונות הצליח ועל פני כמה זמן.","מנסה לחשוב על מילים נפרדות באופן הכי פשטני",61,54,37,31,31,61,32.5333333333333,TRUE,FALSE,50.5,6.98585648148148,35.3333333333333,4.7,1.5,2.5,1,55.6666666666667,1102,"1",0,1,2.1,32,2.60377358490566,2.5,0.8,2.44444444444444,3.625,-0.89235366368342,0.486516255421205,1058,0,0,2.2,30,0.886792452830189,0.833333333333333,0.2,0.888888888888889,1.125,-0.297778323757421,0.657596849868355,86.5
"4","112",26,60.9833333333333,41.6166666666667,FALSE,762813,26199,17662,56216,31567,120662,166388,125201,18021,22553,2018-05-15 12:59:35,81,40,30,20,20,19,2,1,40331,31.9,"lab",7,1,1,7,1,7,2,1,1,1,2,3,4,1,134.7282,3,3,4,3,TRUE,6,"R_1nT2AjFpM8j85xV",2018-05-22 13:21:57,26,"אני לא זוכרת הרבה מהשאלות עצמן של הניסוי אבל אני זוכרת שזה גרם לי דבר ראשון לחוש פחד. אני לא ממש טובה במשחקי מילים ומשפטים וכל זה, אז אני זוכרת שדבר ראשון קצת חששתי מזה שאני לא אצליח. אחר כך שעשיתי את הדוגמא אמרתי ""אה סבבה זה דווקא בסדר"" אבל אז שנתקלתי במשפט הראשון לקח לי מלאא זמן עד שהצלחתי לזהות את המילה המסתתרת. בהתחלה בכלל חיפשתי בטעות מילה משמאל לימין למרות שהיה כתוב שצריך לחפש מילה מימין לשמאל וזה גרם לי לתסכול ותחושת כישלון ואכזבה מעצמי שאני לא מצליחה. ואז גם התחלתי להרגיש כעס על זה שזו שאלה קשה ובכללי על הסיטואציה ועל זה שזה לוקח יותר מידי זמן וכבר קבעתי עוד ניסוי ישר אחרי זה, ואז ישר היה לי שיעור ו""בניתי"" על קצת הפסקה בין לבין. אפילו הייתי על הסף של לצאת החוצה ולהגיד שאני לא מצליחה ואם אפשר עזרה אבל בסוף בעזרת הרמז הצלחתי לפתור את המשפט הראשון. בהמשך כבר רק רציתי לתקתק ואם לא הצלחתי מייד בנסיון הראשון אז לא בזבזתי יותר מידי זמן. זהו אחרי זה קצת חזרה לי תחושת ההצלחה כשהצלחתי משפטים בנסיון הראשון בלי הרמז. אבל הכעס והתחושות השליליוית נשארו עד סוף הניסוי וגם אחריו.","נראלי שבבסך הכל אין לי משהו שהייתי רוצה לשנות.. אולי הייתי שמחה להיות יותר מרוכזת ולקרוא את ההוראות טוב יותר כדי שלא אבזבז כל כך הרבה זמן שיגרום לי אחרי זה להתבאס ככה.",36,63,60,65,25,50,17.9333333333333,TRUE,FALSE,49.8333333333333,7.01553240740741,19.6666666666667,2.9,3,3.5,0.5,61.3333333333333,1745,"1",0,0,1.6,30,1.0188679245283,1.16666666666667,0.4,1.44444444444444,2.75,-1.07883255783396,0.671747565498863,1421,0,0,1.9,31,1.24528301886792,1.5,0.8,1.33333333333333,2.25,-0.213820084632563,0.308321741365071,102.6
"5","113",25,89.7,26.2666666666667,FALSE,14674,126244,79809,82074,219119,127664,14250,235439,23665,410204,2018-05-15 13:30:18,61,8,240,45,45,68,5,2,110676,61.0666666666667,"lab",1,1,2,3,2,2,1,3,1,2,3,4,1,2,133.3142,5,5,3,3,FALSE,4,"R_1juF2iUcwyPAwLW",2018-05-22 14:07:15,25,"החלק הראשון היה מזעזע, גם משחקי המשפטים בהתחלה היו קשים וכנראה זו הייתה הכוונה זה תיסכל לפתור אותם
המשכתי למילוי שאלונים וההשאלות וההגדים היו ממש מעצבנים.. יצאתי בתחושה לא טובה! הייתי עצבנית חצי שעה אחרי..
משהו התיש אותי בניסוי הזה.
ממש.
","מעלה את התשלום של המחקר.. כי החלק הראשון הוא מתיש נפשית ומנטלית וארוך מאווד! 
כך ש60 שח לא שווים זאת.. משהו היה מתיש מידי
המשימה בהתחלה אולי בצירוף עם ההגדים אחכ..
לא היה טוב בכלל",18,44,44,42,12,16,3.26666666666667,TRUE,FALSE,64.3333333333333,7.02565972222222,52.6666666666667,1.8,5,3,-2,8.33333333333334,1718,"1",1,2,1.5,44,1.90566037735849,3.5,1,3,1.125,0.711165302482141,-0.0229982012201262,1380,2,4,1.5,48,2.22641509433962,3.66666666666667,1.4,2.55555555555556,1,0.642403808406454,-0.154067894274649,115.966666666667
"6","114",27,54.0666666666667,44.2,FALSE,34429,12410,18919,16272,475259,224615,102785,700518,8499,15077,2018-05-15 14:01:03,72,75,60,61,41,100,4,1,14132,33.7166666666667,"lab",1,1,1,1,7,4,1,15,1,1,2,4,3,1,160.8783,3,2,2,1,TRUE,7,"R_22n2v1QwJc3InAf",2018-05-22 13:21:42,27,"חלק זה של הניסוי היה מאוד מאתגר. ההוראות היו מאוד ברורות. חלק מהמילים הרגשתי שאני מוצאת יחסית מהר , אך היו כאלה שגם התקשיתי מעט למצוא ועל כן נידרש זמן רב יותר ורמזים. הייתה מילה אחת מהמילים שלקח לי זמן רב מאוד למצוא ולאחר שראיתי את הרמז שניתן מלכתחילה עבורה ואת המילה הרגשתי כי הרמז שניתן עבורה לא תיאר טוב ולא סייע לי כלל למציאתה. זאת לעומת שאר המילים שהרמז שניתן עבורן מלכתחילה היה קשור אליהן ועל כן הוא אכן סייע.","לא הייתי משנה משהו מיוחד מאחר שבאותו יום ספציפית די הייתי מרוכזת ולצורך משימה זו היו דרושים ריכוז וחדות.",21,21,65,41,1,5,27.05,TRUE,FALSE,60.7666666666667,6.97267361111111,67.3333333333333,3.3,2.5,1.5,-1,4.66666666666667,1221,"1",0,0,1.8,25,0.60377358490566,1,0.6,2.44444444444444,2.5,0.144747525371483,0.279741465114676,1029,0,0,2.1,26,1.24528301886792,1.5,1,2.11111111111111,2.125,0.277027107181842,0.125434343161736,98.2666666666667
"7","115",22,73.5166666666667,26.8666666666667,FALSE,905591,327197,39017,105433,20287,29692,166362,6824,914903,129004,2018-05-15 14:57:05,50,19,45,18,19,72,6,1,14075,50.0833333333333,"lab",4,1,1,1,1,1,1,1,7,2,1,4,3,2,264.431,3,2,3,3,TRUE,7,"R_3Oljk9LBL88ZXjr",2018-05-22 14:04:03,22,"שיחקנו במשחק מילים שבו התבקשנו למצוא המילה המסתתרת במשפט והופיע לנו רמז. 
התחושות שתעוררו בי בהתחלה הן תיסכול ויאוש. לקח לי הרבה זמן להבין מה קורה ומה הרעיון. אחרי כמה ניסיונות הצלחתי להבין את הרעיון אבל נתקעתי שוב במשפטים מתקדמים יותר. 
תחושת התסכול והיאוש ליוותה אותי גם בהמשך היום. 
הרגשתי מטומטמת ולא חכמה ובכיתי מתסכול במשפט הראשון שלקח לי רבע שעה בערך. 
","אחרי 5 דקות עם המשפט הראשון התחלתי לבכות מיאוש ותסכול ואני חושבת שזה מה שגם לכך שיקח לי כל כך הרבה זמן להצליח. 
הייתי משנה את ההתנהגות הזו, כי היא לא הועילה לי בהמשך המטלה וגם לא בהשך היום שהתחושה הזו ליוותה אותי לכל אורכו. 
הייתי רוצה לקחת את המטלה בקלות יותר, לא לכעוס על עצמי שאני לא מצליחה ואולי כך לא הייתי בוכה 
",80,75,81,47,45,55,7.28333333333333,TRUE,FALSE,57.3666666666667,6.9631712962963,36.3333333333333,2,2.5,3,0.5,13.6666666666667,1406,"1",0,0,1.7,20,0.584905660377358,0.666666666666667,0.8,2.22222222222222,1.75,0.240883537128647,0.300774831341648,1175,0,0,1.7,15,1.05660377358491,1.16666666666667,1.4,2.11111111111111,1.5,0.250757966539149,0.178661740103932,100.383333333333
"8","116",27.5,39.75,35.65,FALSE,50748,50558,11370,56963,39439,13644,12933,138405,14033,57556,2018-05-15 15:00:47,86,76,15,8,5,7,1,3,133348,20.2666666666667,"lab",2,1,1,2,2,1,1,7,1,1,1,3,2,4,44.5649,1,3,3,1,FALSE,6,"R_3kA5V24hKnfNFfL",2018-05-22 12:28:51,27,"בחלק הראשון של המחקר הייתי צריכה לאתר מילים בתוך משפט. מילה אחת (ולא מספר מילים) ששזורה בתוך משפט לפי רמז מסויים שניתן מראש. היו מספר ניסיונות לטובת העניין. לפני המטלה הייתי צריכה להעריך בכמה פעמים אצליח, בכמה פעמים אצלחי בפעם הראשונה, ומה האחוז של ההצלחות שיגרום לי לתחושה טובה. 
בהמשך הייתה מטלה שהייתי צריכה ללחוץ על שני מקשים במקלדת בהתאם לקטגוריה- בהתחלה בצורה נייטרלית (אמת\ שקר, טוב\ רע) ואחר כך לאחר צימודים שונים (אמת עם טוב או להיפך באותו לחצן). היו 8 בלוקים כאלה ושני סטים כאשר הסט השני היה בוריאציה קצת אחרת.
בנוסף, הייתה מטלה בה נתנו לי מידע על משתתף נוסף והייתי צריכה להגיד האם בידי מספיק מידע כדי להגיד מי יותר טוב- אני או הוא.
בסוף היה שאלון אישי על רגשות או תחושות.","הייתי מעריכה אחרת את הסיכויים שאצליח (לאחר שראיתי שבדוגמה לקח לי זמן וזה לא כ""כ פשוט). 
הייתי לוקחת עוד רגע במטלה עם הצימודים (טוב רע אמת שקר), כדי שתהיינה יותר תשובות נכונות, אולי גם על חשבון תזמון.",94,94,40,0,30,60,17.2333333333333,TRUE,FALSE,37.5,6.89449074074074,6.66666666666667,1.9,2,2,0,79.3333333333333,1169,"1",0,0,2.9,1,0.0943396226415094,0.333333333333333,0.6,0.555555555555556,3.25,-0.598966447009962,0.319389005173652,1105,0,0,3,3,0.0566037735849057,0.166666666666667,0,0.333333333333333,3.125,-1.0055239383992,0.814214568741586,75.4
"9","117",25,47.3166666666667,21.7,FALSE,41392,271003,39945,13336,9868,158861,58926,8197,123831,58488,2018-05-16 10:38:47,76,70,7,41,25,69,4,1,24058,23.05,"lab",1,1,1,1,1,2,1,1,3,2,2,3,1,4,78.3847,4,3,4,3,TRUE,7,"R_1EfWcgcj44Iw8fg",2018-05-23 11:32:32,25,"בהתחלה חשבתי מהדוגמאות שיהיה קל יחסית אבל במטלה עצמה היו רמזים קשים יותר לכן לקח לי יותר זמן ממה שחשבתי שיקח. השתדלתי לראות את המטלה בתור חידות ולהציב לעצמי את האתגר לעשות זאת כמה שיותר מהר. היו כמה מקרים שלא הייתי בטוח אבל ניסיתי ליתר ביטחון כי לא היה לי כיוון אחר.","לא",69,91,11,11,10,81,3.35,TRUE,FALSE,26.4,7.03732638888889,45,1.4,3.5,3.5,0,31,1456,"0",0,0,2.1,5,0.339622641509434,0.666666666666667,0.2,0.888888888888889,2.75,0.545006253024614,0.25356063884452,1101,0,0,2.5,1,0.264150943396226,0.5,0.2,0.555555555555556,2.75,0.101661456010057,0.317360215647391,69.0166666666667
"10","118",25,41.2166666666667,34.8,FALSE,443054,85872,51793,26642,291229,7186,7152,100973,25289,26645,2018-05-16 11:01:08,91,70,7,20,50,40,1,1,9538,21.8833333333333,"lab",7,1,1,1,5,1,1,2,1,1,2,4,3,1,106.5835,3,2,2,2,TRUE,7,"R_PtUy0aoWq9B1UR3",2018-05-23 10:49:27,25,"בחלק הראשון נדרשתי למצווא מילה אשר קשורה למילת רמז מסוימת שניתנה. את המילה נדרשתי למצוא מתוך משפט. בהתחלה לא הבנתי שמילת הרמז יכולה לשמש כמילה נרדפת ולכן לא הצלחתי את המשפט הראשון. הייתי קצת עצבני משום שלא הצלחתי למצוא את המילה.
לאחר מכן הבנתי את המטלה יותר טוב והשתפרתי בביצועים.","לא הייתי משנה דבר בהתנהגותי.",80,74,60,0,0,80,19.0833333333333,TRUE,FALSE,40.9666666666667,6.99188657407407,36.6666666666667,2.1,2.5,2,-0.5,54.3333333333333,1160,"0",0,0,2.8,3,0.113207547169811,0,0,1.11111111111111,3.25,-0.568154932165316,1.15117026754908,943,0,0,2.9,2,0.0943396226415094,0.166666666666667,0,1.22222222222222,3.125,-0.598029558346376,1.08000243954008,76.0166666666667
