"","session_id","female","part1id","wave"
"1",10456157,"1","101","1"
"2",10456158,"${q://QID48/SelectedChoicesRecode}","${q://QID51/ChoiceTextEntryValue}","1"
"3",10456160,"${q://QID52/SelectedChoicesRecode}","${q://QID54/ChoiceTextEntryValue}","2"
"4",10458846,"1","103","1"
"5",10461459,"1","102","1"
"6",10461523,"0","104","1"
"7",10475013,"1","101","1"
"8",10477279,"1","105","1"
"9",10479167,"1","103","2"
"10",10482519,"1","102","2"
"11",10482663,"0","104","2"
"12",10489630,"1","999","2"
"13",10493439,"1","101","2"
"14",10494853,"1","105","2"
"15",10499385,"1","106","1"
"16",10499387,"0","107","1"
"17",10499907,"1","108","1"
"18",10502013,"1","999","1"
"19",10502026,"1","999","2"
"20",10506164,"1","null","2"
"21",10506168,"0","null","1"
"22",10506174,"1","null","2"
"23",10506740,"1","999","1"
"24",10506783,"0","null","1"
"25",10508518,"1","null","1"
"26",10509120,"0","null","1"
"27",10509125,"1","null","1"
"28",10509335,"1","null","1"
"29",10510330,"1","null","1"
"30",10511921,"1","null","1"
"31",10512571,"1","109","1"
"32",10512598,"1","null","2"
"33",10512600,"1","testtest","2"
"34",10514998,"1","110","1"
"35",10519322,"0","R_1dugeoOSikKGDbv","2"
"36",10519884,"1","R_30oRSeJD2dRjCAx","2"
"37",10520966,"1","R_30oRSeJD2dRjCAx","2"
"38",10521278,"1","R_2A1dSHKCKHdWp3P","1"
"39",10521316,"0","R_2qz4xdQeglNHLkf","1"
"40",10521339,"0","R_3D0ixXQjQhk6F7C","1"
"41",10521843,"0","R_2TnlmmEqI5yiKxB","2"
"42",10521888,"1","R_3sgKjfgaPvisY1X","2"
"43",10522210,"1","R_2EjfwFUQgEKED9E","2"
"44",10522442,"1","R_3L5u3hk4Dpl95Dp","2"
"45",10523060,"1","R_3L5u3hk4Dpl95Dp","2"
"46",10523187,"1","R_2rvCELNnwCZnm2f","2"
"47",10525171,"1","109","2"
"48",10525262,"1","111","1"
"49",10525280,"1","112","1"
"50",10525339,"1","113","1"
"51",10525343,"1","114","1"
"52",10525378,"1","116","1"
"53",10525401,"1","115","1"
"54",10527180,"1","110","2"
"55",10527198,"0","117","1"
"56",10527214,"0","118","1"
"57",10527233,"1","119","1"
"58",10527243,"1","120","1"
"59",10527280,"1","121","1"
"60",10527317,"1","122","1"
"61",10529781,"1","123","1"
"62",10529828,"1","124","1"
"63",10529860,"1","125","1"
"64",10533996,"0","R_3D0ixXQjQhk6F7C","2"
"65",10534095,"1","R_2A1dSHKCKHdWp3P","2"
"66",10534538,"1","R_38ZiWeFn4TC3KnL","1"
"67",10538295,"1","116","2"
"68",10538314,"1","111","2"
"69",10538345,"1","112","2"
"70",10538354,"1","114","2"
"71",10538381,"1","113","2"
"72",10538383,"1","115","2"
"73",10540368,"1","119","2"
"74",10540370,"0","118","2"
"75",10540396,"0","117","2"
"76",10540400,"1","120","2"
"77",10540470,"1","122","2"
"78",10540477,"1","121","2"
"79",10540510,"0","126","1"
"80",10540524,"1","127","1"
"81",10540591,"1","129","1"
"82",10540596,"1","128","1"
"83",10541089,"1","R_3Olf0UQczNBqV3T","1"
"84",10542160,"1","R_3rNeQKggTXV2HvF","1"
"85",10542165,"1","123","2"
"86",10542175,"1","124","2"
"87",10542183,"1","125","2"
"88",10542509,"1","R_PGHWOMGQsvXODap","1"
"89",10543703,"1","R_1g5EIsbmzXBWTi6","1"
"90",10544934,"1","R_1cYRnIJZEgKAbTC","1"
"91",10544949,"1","R_2R8GZNUSKShVAAo","1"
"92",10545182,"1","R_3rU8mjyanXWshGa","1"
"93",10545342,"1","R_DH4ay21wikLoLyV","1"
"94",10545362,"1","R_1rvOzwgNprwZPBm","1"
"95",10545691,"1","R_38ZiWeFn4TC3KnL","2"
"96",10545791,"0","130","1"
"97",10546792,"1","131","1"
"98",10547943,"1","R_D6KN1Ds8peOCS8F","1"
"99",10551749,"1","R_3rNeQKggTXV2HvF","2"
"100",10551805,"1","129","2"
"101",10551908,"1","127","2"
