"","session_id","blockOrder.SC"
"1",10458846,"High Trait First"
"2",10461459,"High Trait First"
"3",10461523,"Low Trait First"
"4",10475013,"Low Trait First"
"5",10477279,"Low Trait First"
"6",10479167,"Low Trait First"
"7",10482519,"High Trait First"
"8",10482663,"High Trait First"
"9",10493439,"High Trait First"
"10",10494853,"High Trait First"
"11",10499385,"Low Trait First"
"12",10499387,"Low Trait First"
"13",10499907,"Low Trait First"
"14",10502013,"Low Trait First"
"15",10506783,"High Trait First"
"16",10508518,"High Trait First"
"17",10509120,"High Trait First"
"18",10509125,"Low Trait First"
"19",10509335,"Low Trait First"
"20",10510330,"Low Trait First"
"21",10511921,"High Trait First"
"22",10512571,"Low Trait First"
"23",10514998,"Low Trait First"
"24",10519322,"High Trait First"
"25",10520966,"Low Trait First"
"26",10521278,"Low Trait First"
"27",10521316,"Low Trait First"
"28",10521339,"High Trait First"
"29",10521843,"High Trait First"
"30",10521888,"Low Trait First"
"31",10522210,"Low Trait First"
"32",10523060,"High Trait First"
"33",10523187,"Low Trait First"
"34",10525171,"Low Trait First"
"35",10525262,"Low Trait First"
"36",10525280,"Low Trait First"
"37",10525339,"High Trait First"
"38",10525343,"Low Trait First"
"39",10525378,"Low Trait First"
"40",10525401,"High Trait First"
"41",10527180,"High Trait First"
"42",10527198,"High Trait First"
"43",10527214,"High Trait First"
"44",10527233,"Low Trait First"
"45",10527243,"High Trait First"
"46",10527280,"Low Trait First"
"47",10527317,"Low Trait First"
"48",10529781,"High Trait First"
"49",10529828,"Low Trait First"
"50",10529860,"High Trait First"
"51",10534095,"High Trait First"
"52",10538295,"High Trait First"
"53",10538314,"High Trait First"
"54",10538345,"Low Trait First"
"55",10538354,"Low Trait First"
"56",10538381,"High Trait First"
"57",10538383,"Low Trait First"
"58",10540368,"Low Trait First"
"59",10540370,"High Trait First"
"60",10540396,"High Trait First"
"61",10540400,"High Trait First"
"62",10540470,"Low Trait First"
"63",10540477,"High Trait First"
"64",10540510,"High Trait First"
"65",10540524,"Low Trait First"
"66",10540591,"High Trait First"
"67",10540596,"Low Trait First"
"68",10541089,"High Trait First"
"69",10542160,"Low Trait First"
"70",10542165,"High Trait First"
"71",10542175,"Low Trait First"
"72",10542183,"Low Trait First"
"73",10542509,"High Trait First"
"74",10543703,"High Trait First"
"75",10544934,"Low Trait First"
"76",10544949,"Low Trait First"
"77",10545182,"High Trait First"
"78",10545342,"Low Trait First"
"79",10545362,"Low Trait First"
"80",10545691,"Low Trait First"
"81",10545791,"High Trait First"
"82",10546792,"Low Trait First"
"83",10547943,"High Trait First"
"84",10551749,"Low Trait First"
"85",10551805,"High Trait First"
"86",10551908,"High Trait First"
"87",10551952,"Low Trait First"
"88",10551958,"Low Trait First"
"89",10553111,"Low Trait First"
"90",10554684,"High Trait First"
"91",10556654,"High Trait First"
"92",10556770,"High Trait First"
"93",10558238,"High Trait First"
"94",10558655,"Low Trait First"
"95",10558754,"High Trait First"
"96",10559286,"Low Trait First"
"97",10559389,"Low Trait First"
"98",10560555,"High Trait First"
"99",10560565,"High Trait First"
"100",10560616,"Low Trait First"
"101",10560619,"High Trait First"
"102",10560652,"High Trait First"
"103",10560661,"Low Trait First"
"104",10560707,"High Trait First"
"105",10560731,"High Trait First"
"106",10560882,"Low Trait First"
"107",10562842,"Low Trait First"
"108",10565025,"Low Trait First"
"109",10565033,"High Trait First"
"110",10565095,"High Trait First"
"111",10565149,"High Trait First"
"112",10565188,"Low Trait First"
"113",10567254,"Low Trait First"
"114",10567262,"High Trait First"
"115",10567348,"High Trait First"
"116",10567366,"Low Trait First"
"117",10572893,"High Trait First"
"118",10572894,"High Trait First"
"119",10572910,"High Trait First"
"120",10572916,"High Trait First"
"121",10572933,"Low Trait First"
"122",10572937,"High Trait First"
"123",10572954,"Low Trait First"
"124",10572955,"Low Trait First"
"125",10572988,"Low Trait First"
"126",10576844,"High Trait First"
"127",10576853,"Low Trait First"
"128",10576891,"High Trait First"
