"","session_id","blockOrder.SE"
"1",10458846,"High Trait First"
"2",10461459,"High Trait First"
"3",10461523,"Low Trait First"
"4",10475013,"High Trait First"
"5",10477279,"Low Trait First"
"6",10479167,"Low Trait First"
"7",10482519,"High Trait First"
"8",10482663,"High Trait First"
"9",10493439,"High Trait First"
"10",10494853,"High Trait First"
"11",10499385,"Low Trait First"
"12",10499387,"High Trait First"
"13",10499907,"High Trait First"
"14",10502013,"Low Trait First"
"15",10506783,"Low Trait First"
"16",10508518,"High Trait First"
"17",10509120,"Low Trait First"
"18",10509125,"Low Trait First"
"19",10509335,"Low Trait First"
"20",10510330,"Low Trait First"
"21",10511921,"High Trait First"
"22",10512571,"High Trait First"
"23",10514998,"High Trait First"
"24",10519322,"Low Trait First"
"25",10520966,"High Trait First"
"26",10521278,"High Trait First"
"27",10521339,"Low Trait First"
"28",10521843,"High Trait First"
"29",10521888,"Low Trait First"
"30",10522210,"Low Trait First"
"31",10523060,"High Trait First"
"32",10523187,"High Trait First"
"33",10525171,"High Trait First"
"34",10525262,"High Trait First"
"35",10525280,"Low Trait First"
"36",10525339,"Low Trait First"
"37",10525343,"High Trait First"
"38",10525378,"High Trait First"
"39",10525401,"Low Trait First"
"40",10527180,"Low Trait First"
"41",10527198,"High Trait First"
"42",10527214,"High Trait First"
"43",10527233,"High Trait First"
"44",10527243,"High Trait First"
"45",10527280,"High Trait First"
"46",10527317,"Low Trait First"
"47",10529781,"Low Trait First"
"48",10529828,"High Trait First"
"49",10529860,"Low Trait First"
"50",10534095,"Low Trait First"
"51",10538295,"High Trait First"
"52",10538314,"High Trait First"
"53",10538345,"Low Trait First"
"54",10538354,"High Trait First"
"55",10538381,"High Trait First"
"56",10538383,"High Trait First"
"57",10540368,"High Trait First"
"58",10540370,"High Trait First"
"59",10540396,"Low Trait First"
"60",10540400,"Low Trait First"
"61",10540470,"Low Trait First"
"62",10540477,"Low Trait First"
"63",10540510,"High Trait First"
"64",10540524,"High Trait First"
"65",10540591,"Low Trait First"
"66",10540596,"High Trait First"
"67",10541089,"Low Trait First"
"68",10542160,"Low Trait First"
"69",10542165,"High Trait First"
"70",10542175,"Low Trait First"
"71",10542183,"Low Trait First"
"72",10542509,"High Trait First"
"73",10543703,"Low Trait First"
"74",10544934,"High Trait First"
"75",10544949,"High Trait First"
"76",10545182,"High Trait First"
"77",10545342,"Low Trait First"
"78",10545362,"High Trait First"
"79",10545691,"Low Trait First"
"80",10545791,"Low Trait First"
"81",10546792,"High Trait First"
"82",10547943,"High Trait First"
"83",10551749,"Low Trait First"
"84",10551805,"High Trait First"
"85",10551908,"Low Trait First"
"86",10551952,"Low Trait First"
"87",10551958,"High Trait First"
"88",10553111,"Low Trait First"
"89",10554684,"High Trait First"
"90",10556654,"Low Trait First"
"91",10556770,"High Trait First"
"92",10558238,"High Trait First"
"93",10558655,"Low Trait First"
"94",10558754,"Low Trait First"
"95",10559286,"High Trait First"
"96",10559389,"High Trait First"
"97",10560555,"Low Trait First"
"98",10560565,"Low Trait First"
"99",10560616,"High Trait First"
"100",10560619,"Low Trait First"
"101",10560652,"High Trait First"
"102",10560661,"Low Trait First"
"103",10560707,"High Trait First"
"104",10560731,"Low Trait First"
"105",10560882,"Low Trait First"
"106",10562842,"Low Trait First"
"107",10565025,"High Trait First"
"108",10565033,"High Trait First"
"109",10565095,"High Trait First"
"110",10565149,"High Trait First"
"111",10565188,"High Trait First"
"112",10567254,"Low Trait First"
"113",10567262,"Low Trait First"
"114",10567348,"Low Trait First"
"115",10567366,"Low Trait First"
"116",10572893,"High Trait First"
"117",10572894,"Low Trait First"
"118",10572910,"Low Trait First"
"119",10572916,"Low Trait First"
"120",10572933,"Low Trait First"
"121",10572937,"High Trait First"
"122",10572954,"High Trait First"
"123",10572955,"Low Trait First"
"124",10572988,"Low Trait First"
"125",10576844,"Low Trait First"
"126",10576853,"High Trait First"
"127",10576891,"Low Trait First"
"128",10576915,"Low Trait First"
